timestamp,cpu_used_percent,mem_used_mib,mem_total_mib,gpu_util_percent,gpu_mem_used_mib,gpu_mem_total_mib
1785650142.117306987,44.30,10252,63973,33,3432,11264
1785650144.142651871,46.93,10255,63973,39,3432,11264
1785650146.170114610,38.30,10371,63973,26,3442,11264
1785650148.196620104,45.08,10383,63973,30,3475,11264
1785650150.221721935,45.23,10391,63973,37,3475,11264
1785650152.246674314,39.52,10446,63973,35,3475,11264
1785650154.274076551,40.94,10339,63973,38,3475,11264
1785650156.301893139,44.06,10342,63973,40,3475,11264
1785650158.329435887,26.53,10385,63973,30,3878,11264
1785650160.353840879,30.03,10645,63973,100,3918,11264
1785650162.377247216,43.88,10627,63973,99,4027,11264
1785650164.403194511,39.46,10632,63973,99,4051,11264
1785650166.432998367,40.93,10636,63973,100,4029,11264
1785650168.461084953,43.67,10641,63973,100,4029,11264
1785650170.499048738,44.72,10521,63973,85,3950,11264
1785650205.622346006,37.52,10361,63973,99,3932,11264
1785650207.648550642,39.80,10363,63973,99,3932,11264
1785650209.672943266,39.55,10360,63973,99,3932,11264
1785650211.696940959,47.26,10474,63973,87,3937,11264
1785650213.732727754,43.68,10545,63973,98,4004,11264
1785650215.756667249,41.79,10577,63973,99,4044,11264
1785650217.787702638,41.87,10575,63973,99,4024,11264
1785650219.811091631,40.45,10637,63973,89,4032,11264
1785650221.835514151,42.58,10615,63973,99,4028,11264
1785650223.860060843,39.27,10612,63973,99,3994,11264
1785650225.888734258,40.45,10620,63973,99,4008,11264
1785650227.917520293,41.44,10624,63973,99,4023,11264
1785650229.941666607,46.53,10651,63973,96,4022,11264
1785650231.965524517,46.96,10659,63973,100,4025,11264
1785650233.995658207,44.46,10677,63973,100,4051,11264
1785650236.018870548,42.73,10701,63973,97,3985,11264
1785650238.045802861,42.34,10716,63973,98,4013,11264
1785650240.075967356,42.84,10719,63973,92,4033,11264
1785650242.100530712,45.24,10719,63973,99,4013,11264
1785650244.126522928,43.02,10720,63973,91,4023,11264
1785650246.150148543,45.12,10728,63973,90,4013,11264
1785650248.175829089,43.09,10733,63973,99,4023,11264
1785650250.206276671,42.65,10725,63973,100,4023,11264
1785650252.231392775,42.91,10722,63973,100,4033,11264
