robots,sensor_tier,rep,rtf,sim_time_elapsed_s,wall_time_elapsed_s,path_length_m,n_clock_msgs,n_odom_msgs,n_goals_generated,n_results,n_succeeded,n_failed,success_rate,avg_goal_duration_s,goal_durations_s,completed_cleanly
1,low,1,0.2840832650709299,67.68333333300001,238.25174396000003,32.18296171152261,4066,4068,3,3,3,0,1.0,73.92736959457397,107.30;46.06;68.42,True
1,low,1,0.2607978414651306,113.31666666699999,434.50001744800005,19.43403441771569,6806,6806,2,2,1,1,0.5,95.49078679084778,35.50;155.48,False
1,low,1,0.2607978414651306,113.31666666699999,434.50001744800005,19.43403441771569,6806,6806,2,2,1,1,0.5,95.49078679084778,35.50;155.48,False
1,low,1,0.2607978414651306,113.31666666699999,434.50001744800005,19.43403441771569,6806,6806,3,3,1,2,0.3333333333333333,89.7809112071991,33.60;161.74;74.00,True
1,low,1,0.2607978414651306,113.31666666699999,434.50001744800005,19.43403441771569,6806,6806,3,3,1,2,0.3333333333333333,89.7809112071991,33.60;161.74;74.00,True
1,low,1,0.00010244092531999039,0.033333334000000006,325.390793727,33.24225353586924,5049,5049,3,3,1,2,0.3333333333333333,89.7809112071991,33.60;161.74;74.00,True
1,low,1,0.2616889281407933,88.133333334,336.78663426900005,19.54659007678403,5294,5294,3,3,1,2,0.3333333333333333,93.25437831878662,33.72;175.04;71.00,True
1,low,1,0.402924658101115,59.6,147.918472602,14.71265712968576,3580,3580,3,3,2,1,0.6666666666666666,38.367614348729454,18.62;45.92;50.56,True
1,low,1,0.402924658101115,59.6,147.918472602,14.71265712968576,3580,3580,3,3,2,1,0.6666666666666666,38.367614348729454,18.62;45.92;50.56,True
1,low,1,0.402924658101115,59.6,147.918472602,14.71265712968576,3580,3580,3,3,2,1,0.6666666666666666,38.367614348729454,18.62;45.92;50.56,True
1,low,1,0.39469494029743996,105.133333334,266.366052868,42.75943593554046,6315,6315,3,3,3,0,1.0,74.96758842468262,18.72;154.96;51.22,True
1,low,1,0.3999697974922395,71.333333333,178.346799634,28.710488789670666,4285,4286,3,3,3,0,1.0,46.37412397066752,20.52;48.76;69.84,True
1,low,1,0.3999697974922395,71.333333333,178.346799634,28.710488789670666,4285,4286,0,3,3,3,0,1.0,46.37412397066752,20.52;48.76;69.84,True,49.87528735632185,21.23,59.34,69.05747126436782,10.0,90.0,2960.6436781609195,10849.954022988506,87
