timestamp,cpu_used_percent,mem_used_mib,mem_total_mib,gpu_util_percent,gpu_mem_used_mib,gpu_mem_total_mib
1785821671.375773275,47.82,10355,63973,32,2815,11264
1785821673.405038543,46.20,10354,63973,34,2815,11264
1785821675.432310541,45.42,10358,63973,33,2811,11264
1785821677.459909069,46.65,10355,63973,32,2815,11264
1785821679.488938206,47.95,10351,63973,31,2811,11264
1785821681.515754869,45.28,10348,63973,28,2815,11264
1785821683.545301887,48.84,10356,63973,37,2811,11264
1785821685.572467128,48.04,10346,63973,36,2815,11264
1785821687.602000242,48.24,10344,63973,30,2815,11264
1785821689.629584219,47.59,10344,63973,27,2815,11264
1785821691.660304874,43.90,10350,63973,27,2815,11264
1785821693.692241737,48.68,10381,63973,34,2815,11264
1785821695.718584187,46.54,10394,63973,34,2815,11264
1785821697.746088920,48.56,10400,63973,28,2831,11264
1785821699.781338003,21.23,10538,63973,10,2947,11264
1785821701.832963971,49.65,10567,63973,44,2943,11264
1785821703.862516522,49.78,10671,63973,57,2945,11264
1785821705.889134616,46.07,10634,63973,70,2991,11264
1785821707.919541401,55.00,10653,63973,73,2989,11264
1785821709.948750507,53.84,10546,63973,58,2981,11264
1785821711.977877595,54.26,10608,63973,83,2977,11264
1785821714.006703395,50.42,10608,63973,74,2973,11264
1785821716.035123839,56.73,10813,63973,62,2977,11264
1785821718.061834550,56.23,10809,63973,71,2977,11264
1785821720.088480796,54.80,10816,63973,82,2977,11264
1785821722.117653296,58.38,10828,63973,80,2977,11264
1785821724.148616964,58.49,10838,63973,82,2977,11264
1785821726.178217665,53.27,10840,63973,74,2977,11264
1785821728.214009182,55.96,10835,63973,77,2977,11264
1785821730.242395454,48.63,10850,63973,74,2973,11264
1785821732.268469569,42.50,10851,63973,59,2977,11264
1785821734.292495586,53.07,10858,63973,64,2977,11264
1785821736.320173836,50.26,10861,63973,84,2979,11264
1785821738.351762700,43.77,10860,63973,65,2979,11264
1785821740.390482073,54.06,10858,63973,68,2979,11264
1785821742.419231263,49.22,10866,63973,69,2979,11264
1785821744.447959410,42.74,10871,63973,74,2979,11264
1785821746.472931204,56.14,10832,63973,73,2979,11264
1785821748.500796491,56.45,10825,63973,75,2979,11264
1785821750.524060292,48.19,10818,63973,60,2979,11264
1785821752.549316499,53.38,10818,63973,77,2979,11264
1785821754.582327378,49.63,10820,63973,53,2979,11264
1785821756.609415808,50.25,10820,63973,68,2979,11264
1785821758.635912450,45.44,10825,63973,64,2975,11264
1785821760.660213402,55.58,10935,63973,67,2979,11264
1785821762.701732239,46.21,10966,63973,64,2979,11264
1785821764.733713814,46.44,10962,63973,64,2979,11264
1785821766.769595737,55.80,10967,63973,79,2979,11264
1785821768.793432627,50.55,10963,63973,50,2979,11264
1785821770.823259179,49.78,10961,63973,77,2979,11264
1785821772.850656763,51.38,10954,63973,74,2979,11264
1785821774.885494301,53.05,10961,63973,74,2979,11264
1785821776.915247869,54.65,10986,63973,68,2979,11264
1785821778.943525498,44.43,10984,63973,80,2971,11264
1785821780.967104695,47.13,10979,63973,85,2975,11264
1785821782.994986293,46.35,10982,63973,53,2979,11264
1785821785.020463731,59.34,10980,63973,80,2975,11264
1785821787.049005260,47.66,10980,63973,75,2975,11264
1785821789.077651561,44.72,10980,63973,90,2975,11264
1785821791.104345749,43.89,10943,63973,74,2975,11264
1785821793.138169296,48.47,10933,63973,68,2975,11264
1785821795.166316025,53.69,10928,63973,65,2975,11264
1785821797.195499840,44.17,10929,63973,68,2975,11264
1785821799.223137773,47.76,10921,63973,71,2971,11264
1785821801.249009453,47.15,10922,63973,68,2975,11264
1785821803.272172742,50.22,10926,63973,72,2975,11264
1785821805.297416214,46.92,10910,63973,69,2975,11264
1785821807.321969452,52.79,10897,63973,63,2975,11264
1785821809.346389203,55.44,10897,63973,80,2975,11264
1785821811.377173154,52.46,10892,63973,74,2975,11264
1785821813.410415720,52.93,10898,63973,78,2975,11264
1785821815.438212080,50.53,10896,63973,69,2975,11264
1785821817.468581691,49.32,10896,63973,73,2975,11264
1785821819.495634621,48.25,10897,63973,74,2933,11264
1785821821.522036729,44.56,10897,63973,65,2933,11264
1785821823.547080357,50.61,10876,63973,65,2933,11264
1785821825.576947817,50.25,10869,63973,69,2933,11264
1785821827.601190282,46.75,10867,63973,58,2929,11264
1785821829.628765960,48.01,10868,63973,63,2937,11264
1785821831.653697873,44.96,10860,63973,65,2933,11264
1785821833.678977205,47.04,10858,63973,61,2933,11264
1785821835.706120793,56.02,10901,63973,80,2935,11264
1785821837.731637150,48.32,10903,63973,72,2935,11264
1785821839.761835433,48.25,10901,63973,59,2935,11264
1785821841.791540184,35.86,10900,63973,59,2935,11264
1785821843.819596455,47.38,10894,63973,65,2935,11264
1785821845.847517460,51.95,10866,63973,68,2935,11264
1785821847.879739768,55.51,10862,63973,63,2935,11264
1785821849.905344524,50.35,10860,63973,64,2935,11264
1785821851.933204906,50.10,10858,63973,68,2935,11264
1785821853.964415752,58.77,10868,63973,79,2935,11264
1785821855.994126753,49.18,10850,63973,69,2935,11264
1785821858.024171022,47.12,10856,63973,69,2935,11264
1785821860.048385977,51.77,10858,63973,75,2935,11264
1785821862.079789221,54.93,10805,63973,80,2935,11264
1785821864.106313191,47.85,10800,63973,68,2951,11264
1785821866.130072551,56.81,10787,63973,70,2914,11264
1785821868.155408282,48.54,10656,63973,76,2897,11264
1785821870.184714828,41.53,10656,63973,68,2901,11264
1785821872.208012009,46.69,10654,63973,73,2898,11264
1785821874.235507017,45.14,10654,63973,67,2898,11264
